,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,Rikitea,-23.12,-134.97,72.91,79,76,13.27,PF,1596406335
44,Gazli,40.13,63.45,78.37,24,0,7.96,UZ,1596406335
45,Hay River,60.82,-115.8,89.6,49,40,10.29,CA,1596406336
46,Bredasdorp,-34.53,20.04,44.6,93,0,2.24,ZA,1596406336
47,Sur,22.57,59.53,83.32,72,0,11.03,OM,1596406336
48,Haines Junction,60.75,-137.51,64.54,46,100,11.21,CA,1596406336
49,Ugoofaaru,5.67,73.0,82.38,80,100,17.31,MV,1596406337
50,Touros,-5.2,-35.46,77.0,83,40,8.05,BR,1596406337
51,Linjiang,41.81,126.91,68.79,89,95,2.26,CN,1596406337
52,Carnarvon,-24.87,113.63,51.8,93,14,8.05,AU,1596406132
53,Hilo,19.73,-155.09,82.4,58,90,6.93,US,1596406338
54,Cutervo,-6.38,-78.82,60.26,70,8,8.39,PE,1596406338
55,Cidreira,-30.18,-50.21,62.19,71,100,7.34,BR,1596406338
56,Castro,-24.79,-50.01,54.64,71,0,3.76,BR,1596406339
57,Jamestown,42.1,-79.24,72.0,83,90,17.22,US,1596406339
58,Katsuura,35.13,140.3,77.0,89,8,4.92,JP,1596406339
59,East London,-33.02,27.91,75.27,19,0,11.74,ZA,1596406339
60,Stamford,41.05,-73.54,84.99,74,40,14.99,US,1596406340
61,Sakakah,29.97,40.21,89.6,13,0,5.82,SA,1596406340
62,Moree,-29.47,149.85,41.0,80,0,9.17,AU,1596406340
63,Mamlyutka,54.94,68.54,70.21,67,0,5.01,KZ,1596406340
64,Lovozero,68.0,35.01,47.97,90,99,4.07,RU,1596406341
65,Severo-Kuril'sk,50.68,156.12,53.51,90,100,9.55,RU,1596406341
66,Port Hedland,-20.32,118.57,55.4,100,90,10.0,AU,1596406341
67,Mahébourg,-20.41,57.7,69.8,68,75,12.75,MU,1596406342
68,Saskylakh,71.92,114.08,63.88,73,65,3.49,RU,1596406324
69,Saint Paul Harbor,57.79,-152.41,59.0,77,90,6.93,US,1596406342
70,Ylivieska,64.08,24.55,60.01,94,34,3.38,FI,1596406342
71,Avon Park,27.6,-81.51,84.99,74,75,13.87,US,1596406227
72,Qasigiannguit,68.82,-51.19,46.4,70,4,4.7,GL,1596406343
73,Hobart,-42.88,147.33,46.4,65,75,8.05,AU,1596406133
74,Kuala Terengganu,5.33,103.14,75.2,100,40,9.17,MY,1596406343
75,Saint-Philippe,-21.36,55.77,68.0,60,90,10.29,RE,1596406343
76,Iset',56.98,60.37,62.6,82,99,2.24,RU,1596406344
77,Nioro,13.35,-15.75,76.64,92,80,6.89,GM,1596406344
78,Hermanus,-34.42,19.23,59.63,70,0,5.99,ZA,1596406344
79,Ponta do Sol,32.67,-17.1,71.6,68,20,17.22,PT,1596406345
80,Magole,-6.37,37.37,71.6,68,40,3.31,TZ,1596406345
81,Busselton,-33.65,115.33,43.0,98,20,4.29,AU,1596406345
82,Cabo San Lucas,22.89,-109.91,89.6,49,20,6.93,MX,1596406134
83,Baykit,61.67,96.37,58.87,85,90,2.95,RU,1596406346
84,Kilcock,53.4,-6.67,53.01,93,40,4.7,IE,1596406346
85,Vaini,-21.2,-175.2,77.0,78,75,13.87,TO,1596406346
86,Serra,-20.13,-40.31,73.99,68,20,9.17,BR,1596406275
87,Palu,-0.89,119.87,75.56,80,100,3.22,ID,1596406347
88,Saint-Augustin,51.23,-58.65,69.57,67,0,15.41,CA,1596406149
89,Longyearbyen,78.22,15.64,46.4,93,40,2.24,SJ,1596406347
90,Mataura,-46.19,168.86,48.96,93,35,1.81,NZ,1596406347
91,Ribeira Grande,38.52,-28.7,72.05,82,3,11.16,PT,1596406348
92,Yinchuan,38.47,106.27,76.96,20,78,9.95,CN,1596406348
93,Walvis Bay,-22.96,14.51,73.4,16,0,11.41,NA,1596406348
94,Meulaboh,4.14,96.13,76.57,84,100,3.74,ID,1596406349
95,San Blas,21.52,-105.27,86.0,51,75,8.05,MX,1596406349
96,Sangar,63.92,127.47,59.32,62,0,3.44,RU,1596406349
97,Raja,8.46,25.68,70.16,94,100,1.88,SS,1596406349
98,Vao,-22.67,167.48,67.17,70,2,15.55,NC,1596406350
99,San Cristobal,7.77,-72.22,91.4,41,20,29.97,VE,1596406350
100,Tigbao,12.55,123.34,80.47,80,100,6.38,PH,1596406350
101,Esperance,-33.87,121.9,48.2,93,69,12.75,AU,1596406351
102,Lavrentiya,65.58,-171.0,47.79,68,77,9.66,RU,1596406326
103,Winchester,51.07,-1.32,60.01,72,100,8.05,GB,1596406351
104,Faanui,-16.48,-151.75,78.46,79,100,10.67,PF,1596406351
105,Airai,-8.93,125.41,52.0,92,55,2.59,TL,1596406352
106,Sitka,57.05,-135.33,57.2,87,90,3.36,US,1596406210
107,Bathsheba,13.22,-59.52,86.0,70,40,12.75,BB,1596406352
108,Tasiilaq,65.61,-37.64,48.2,66,9,12.75,GL,1596406352
109,Adrar,20.5,-10.07,101.73,9,0,4.81,MR,1596406353
110,Nouadhibou,20.93,-17.03,73.4,83,0,20.8,MR,1596406353
111,Chokurdakh,70.63,147.92,49.73,63,100,3.56,RU,1596406353
112,Kruisfontein,-34.0,24.73,57.69,40,0,3.4,ZA,1596406354
113,Constitución,-35.33,-72.42,55.09,90,1,6.51,CL,1596406354
114,Bluff,-46.6,168.33,47.21,92,68,6.38,NZ,1596406354
115,Omsukchan,62.53,155.8,56.93,53,16,7.05,RU,1596406354
116,Tsévié,6.43,1.21,75.2,88,20,11.41,TG,1596406355
117,Quatre Cocos,-20.21,57.76,69.8,68,75,12.75,MU,1596406355
118,Port Alfred,-33.59,26.89,72.5,22,0,13.51,ZA,1596406355
119,La Romana,18.43,-68.97,84.2,70,40,16.11,DO,1596406355
120,Porosozero,62.72,32.73,49.78,91,83,2.73,RU,1596406356
121,Zhuhai,22.28,113.57,78.8,94,40,3.36,CN,1596406356
122,Dikson,73.51,80.55,52.5,81,63,8.95,RU,1596406356
123,Abhā,18.22,42.51,68.0,77,20,5.82,SA,1596406357
124,Mandalgovi,45.76,106.27,55.56,78,61,18.43,MN,1596406357
125,Karlskrona,56.16,15.59,57.2,100,100,1.12,SE,1596406357
126,Bariloche,-41.15,-71.31,50.0,53,94,8.05,AR,1596406357
127,Celestún,20.87,-90.4,85.75,69,5,16.55,MX,1596406358
128,Tuyen Quang,21.82,105.22,77.4,94,100,2.35,VN,1596406121
129,Leshan,29.56,103.76,74.73,93,91,0.94,CN,1596406358
130,Shimoda,34.67,138.95,77.0,79,2,1.01,JP,1596406358
131,Vila Velha,-20.33,-40.29,73.99,68,20,9.17,BR,1596406358
132,Vostok,46.49,135.88,67.44,97,100,3.38,RU,1596406359
133,Yeppoon,-23.13,150.73,64.4,63,90,8.05,AU,1596406359
134,Hithadhoo,-0.6,73.08,82.85,77,64,10.89,MV,1596406359
135,Porto-Novo,6.5,2.6,77.0,83,20,12.75,BJ,1596406360
136,Podyuga,61.09,40.86,46.87,94,93,1.1,RU,1596406360
137,Hastings,50.86,0.57,63.0,85,100,1.99,GB,1596406360
138,Çayeli,41.09,40.73,69.71,70,98,3.74,TR,1596406360
139,Matamoros,25.53,-103.25,93.2,21,75,11.41,MX,1596406360
140,Ambon City,-3.7,128.18,77.59,84,74,9.66,ID,1596406361
141,Vardø,70.37,31.11,50.0,81,75,10.29,NO,1596406361
142,Chynadiyovo,48.48,22.82,62.01,81,91,4.0,UA,1596406361
143,Ilulissat,69.22,-51.1,46.4,70,0,4.7,GL,1596406362
144,Dwārka,22.24,68.97,85.73,79,99,7.63,IN,1596406362
145,Bogotol,56.21,89.53,53.83,84,87,3.94,RU,1596406362
146,Philadelphia,39.95,-75.16,93.0,52,75,16.11,US,1596406220
147,Bilibino,68.05,166.44,50.77,60,93,0.83,RU,1596406362
148,Eureka,40.8,-124.16,70.0,77,1,14.99,US,1596406095
149,Vallenar,-28.57,-70.76,73.49,29,5,3.22,CL,1596406363
150,Southbridge,42.08,-72.03,75.99,98,100,3.0,US,1596406364
151,Nantucket,41.28,-70.1,73.4,83,90,12.75,US,1596406364
152,Çerkezköy,41.28,28.0,75.0,82,0,10.29,TR,1596406364
153,Hearst,49.68,-83.67,64.65,48,93,11.16,CA,1596406364
154,La Maddalena,41.21,9.41,82.4,61,0,14.99,IT,1596406365
155,Daru,-9.08,143.21,75.63,86,92,14.5,PG,1596406203
156,Granada,37.19,-3.61,84.2,14,0,8.05,ES,1596406365
157,Hasaki,35.73,140.83,73.4,88,20,2.24,JP,1596406366
158,Lagoa,39.05,-27.98,71.67,82,0,13.53,PT,1596406366
159,Madang,-5.22,145.8,78.42,88,23,2.84,PG,1596406366
160,Cocorit,27.58,-109.97,96.8,39,75,5.82,MX,1596406366
161,Dhidhdhoo,6.88,73.1,82.78,78,100,18.88,MV,1596406366
162,Allāpalli,19.42,80.07,77.92,92,100,3.76,IN,1596406367
163,Eirunepé,-6.66,-69.87,84.79,50,43,1.05,BR,1596406367
164,Tuatapere,-46.13,167.68,47.12,81,77,3.47,NZ,1596406367
165,Barcelona,41.39,2.16,81.0,78,75,9.17,ES,1596406276
166,Kirakira,-10.45,161.92,82.85,74,23,5.75,SB,1596406368
167,Sivaki,52.63,126.75,55.26,84,98,9.93,RU,1596406368
168,Khatanga,71.97,102.5,63.27,71,50,5.97,RU,1596406368
169,Bethel,41.37,-73.41,82.99,78,75,9.17,US,1596406368
170,Waddān,29.16,16.14,84.07,24,0,12.26,LY,1596406369
171,Chumikan,54.72,135.31,53.1,88,100,5.59,RU,1596406369
172,Nicoya,10.15,-85.45,86.0,74,40,11.41,CR,1596406369
173,Coyhaique,-45.58,-72.07,42.8,81,90,1.9,CL,1596406370
174,Mporokoso,-9.37,30.12,58.23,48,0,8.03,ZM,1596406370
175,Alugan,12.22,125.48,82.29,80,100,6.17,PH,1596406370
176,Tsybli,49.99,31.56,51.8,93,2,4.65,UA,1596406370
177,Talnakh,69.49,88.4,55.4,87,95,8.95,RU,1596406370
178,Åmot,59.57,7.99,51.01,92,38,4.9,NO,1596406371
179,Nikolskoye,59.7,30.79,59.0,87,90,3.51,RU,1596406371
180,Port Augusta,-32.5,137.77,48.2,100,90,5.82,AU,1596406371
181,Hanting,36.77,119.21,77.9,88,24,8.19,CN,1596406372
182,Buin,-33.73,-70.75,68.0,28,11,3.36,CL,1596406372
183,Arraial do Cabo,-22.97,-42.03,68.0,64,2,3.36,BR,1596406372
184,Kefamenanu,-9.45,124.48,62.92,92,49,3.13,ID,1596406372
185,Ancud,-41.87,-73.82,53.01,87,90,14.99,CL,1596406373
186,Asău,46.43,26.4,52.0,93,0,1.95,RO,1596406373
187,Gobabis,-22.45,18.97,50.0,34,0,1.12,NA,1596406373
188,Cherskiy,68.75,161.3,51.6,68,78,1.16,RU,1596406373
189,Rincon,32.3,-81.24,91.4,59,75,14.99,US,1596406374
190,Paracuru,-3.41,-39.03,79.0,78,3,15.01,BR,1596406374
191,Coquimbo,-29.95,-71.34,59.0,72,3,10.29,CL,1596406374
192,Port Hardy,50.7,-127.42,57.2,100,90,4.7,CA,1596406374
193,Mumford,5.26,-0.76,73.74,86,65,12.68,GH,1596406375
194,Codrington,-38.27,141.97,46.92,78,36,11.14,AU,1596406375
195,Santa Marinella,42.03,11.85,72.0,88,0,8.88,IT,1596406375
196,Hokitika,-42.72,170.97,50.77,91,100,4.68,NZ,1596406195
197,Ternate,0.8,127.4,78.58,85,100,9.91,ID,1596406376
198,Junction City,39.03,-96.83,81.0,51,20,8.05,US,1596406376
199,Jilib,0.49,42.79,73.45,83,19,8.99,SO,1596406376
200,Jiujiang,29.73,115.98,82.54,74,12,2.91,CN,1596406376
201,Tiksi,71.69,128.87,44.91,84,100,5.3,RU,1596406377
202,Solnechnyy,50.72,136.63,54.03,86,100,7.67,RU,1596406377
203,Torbay,47.67,-52.73,62.6,82,75,11.41,CA,1596406377
204,Zyryanka,65.75,150.85,61.83,52,5,7.7,RU,1596406377
205,Chapais,49.78,-74.85,66.2,93,75,2.24,CA,1596406113
206,Fort Dodge,42.5,-94.17,75.2,47,20,8.05,US,1596406378
207,Sisimiut,66.94,-53.67,51.15,68,14,7.7,GL,1596406378
208,Sehore,23.2,77.08,79.88,80,94,5.95,IN,1596406378
209,São Filipe,14.9,-24.5,78.42,87,71,7.0,CV,1596406379
210,Kollam,8.88,76.6,80.6,88,90,8.7,IN,1596406379
211,Fomboni,-12.28,43.74,77.49,72,0,13.91,KM,1596406379
212,Grand Forks,47.93,-97.03,75.2,38,40,10.29,US,1596406379
213,Olinda,-8.01,-34.86,78.8,69,75,14.99,BR,1596406380
214,Thompson,55.74,-97.86,77.0,38,20,5.82,CA,1596406380
215,Norman Wells,65.28,-126.83,75.2,64,20,5.82,CA,1596406380
216,Pevek,69.7,170.31,37.11,93,100,3.13,RU,1596406380
217,Faya,18.39,42.45,68.0,77,20,5.82,SA,1596406380
218,Shetpe,44.17,52.12,78.03,39,0,6.38,KZ,1596406381
219,Niğde,37.83,34.75,60.94,59,2,3.94,TR,1596406381
220,Clyde River,70.47,-68.59,53.6,76,90,9.17,CA,1596406381
221,Los Llanos de Aridane,28.66,-17.92,73.4,83,15,13.87,ES,1596406382
222,Saint-François,46.42,3.91,68.0,64,76,4.7,FR,1596406382
223,Ketchikan,55.34,-131.65,62.6,88,90,11.41,US,1596406382
224,Qaryat Sulūq,31.67,20.25,75.34,90,0,7.56,LY,1596406382
225,Pilar,-9.6,-35.96,73.4,88,40,8.05,BR,1596406383
226,Mount Isa,-20.73,139.5,46.4,65,0,1.12,AU,1596406383
227,Dryden,49.78,-92.75,66.2,52,20,12.75,CA,1596406383
228,Nanortalik,60.14,-45.24,47.12,92,65,11.9,GL,1596406383
229,Coahuayana Viejo,18.73,-103.68,86.0,70,75,11.41,MX,1596406384
230,Moryakovskiy Zaton,56.7,84.65,57.99,100,0,2.24,RU,1596406384
231,Rupert,42.62,-113.68,93.2,24,1,3.36,US,1596406384
232,Qaanaaq,77.48,-69.36,38.44,87,100,9.44,GL,1596406384
233,Kholtoson,50.3,103.31,52.48,75,100,2.33,RU,1596406384
234,Bābra,21.85,71.3,81.88,85,78,5.61,IN,1596406385
235,City of San Pedro,14.35,121.02,79.0,94,99,1.12,PH,1596406385
236,Hutchinson,38.06,-97.93,81.0,39,1,14.99,US,1596406342
237,Dalvik,65.97,-18.53,50.0,93,90,5.82,IS,1596406386
238,Upata,8.01,-62.4,82.0,79,86,3.0,VE,1596406386
239,Aras,42.56,-2.36,66.2,63,100,9.17,ES,1596406386
240,Leningradskiy,69.38,178.42,40.23,85,99,9.8,RU,1596406387
241,Takanosu,40.22,140.37,74.52,82,46,1.39,JP,1596406387
242,Voh,-20.97,164.7,70.11,56,5,3.53,NC,1596406387
243,Zhuangyuan,37.3,120.83,80.01,94,35,1.01,CN,1596406387
244,Calama,-22.47,-68.93,75.2,3,0,19.46,CL,1596406388
245,Chifeng,42.27,118.96,71.1,50,1,7.99,CN,1596406388
246,Eydhafushi,5.1,73.07,82.62,79,100,16.17,MV,1596406388
247,Boguchany,58.38,97.45,59.27,81,87,2.77,RU,1596406388
248,Nagua,19.38,-69.85,86.0,74,40,4.7,DO,1596406389
249,Tabou,4.42,-7.35,73.49,76,100,6.29,CI,1596406389
250,Kushiro,42.98,144.37,67.26,92,14,7.85,JP,1596406389
251,Bengkulu,-3.8,102.27,74.61,92,43,3.38,ID,1596406389
252,Indore,22.72,75.83,78.3,86,100,7.25,IN,1596406252
253,Hirara,24.8,125.28,78.8,88,75,35.57,JP,1596406390
254,Lajas,18.05,-67.06,84.99,70,79,3.0,PR,1596406390
255,Montecristi,-1.05,-80.67,82.4,65,75,8.05,EC,1596406390
256,Yumen,40.28,97.2,64.24,27,12,10.94,CN,1596406391
257,Lorengau,-2.02,147.27,82.89,78,96,12.33,PG,1596406391
258,Øksfjord,70.24,22.35,53.01,81,13,9.17,NO,1596406391
259,Sudak,44.85,34.97,68.49,56,1,5.48,UA,1596406391
260,Lensk,60.73,114.93,58.91,74,0,4.03,RU,1596406392
261,Klaksvík,62.23,-6.59,50.0,100,99,13.87,FO,1596406392
262,Suicheng,33.9,117.93,78.75,93,85,6.53,CN,1596406392
263,Amparafaravola,-17.58,48.22,57.67,69,80,12.95,MG,1596406392
264,Moroni,-11.7,43.26,74.77,69,3,8.19,KM,1596406393
265,Coronado,32.69,-117.18,78.8,77,75,8.05,US,1596406393
266,Atambua,-9.11,124.89,65.19,86,40,4.79,ID,1596406393
267,North Bend,43.41,-124.22,81.0,68,1,9.17,US,1596406393
268,Sola,-13.88,167.55,80.6,83,75,6.93,VU,1596406393
269,Inírida,3.87,-67.92,79.97,91,24,1.3,CO,1596406394
270,Vestmannaeyjar,63.44,-20.27,51.66,85,75,21.12,IS,1596406394
271,Grand Gaube,-20.01,57.66,66.0,78,41,3.0,MU,1596406394
272,Morón,-34.65,-58.62,66.99,86,67,3.0,AR,1596406394
273,Arrondissement de Thiers,45.83,3.5,68.0,64,89,2.24,FR,1596406395
274,Zlobin,45.29,14.65,82.4,51,20,6.93,HR,1596406395
275,Bandarbeyla,9.49,50.81,78.31,70,0,29.97,SO,1596406395
276,Iqaluit,63.75,-68.51,51.8,81,75,3.36,CA,1596406395
277,Chui,-33.7,-53.46,59.54,90,99,3.62,UY,1596406396
278,San Jose,37.34,-121.89,86.0,37,5,10.29,US,1596406140
279,Bosaso,11.28,49.18,91.83,38,54,24.32,SO,1596406396
280,Port Blair,11.67,92.75,82.11,80,100,25.95,IN,1596406396
281,Gouré,13.98,10.27,79.74,68,8,13.82,NE,1596406396
282,Muravlenko,63.79,74.52,61.34,70,1,11.27,RU,1596406397
283,Tahe,52.33,124.73,54.36,95,100,6.58,CN,1596406397
284,Kendari,-3.94,122.5,72.61,92,85,2.59,ID,1596406397
285,Crema,45.36,9.67,75.0,93,93,5.99,IT,1596406397
286,Berlevåg,70.86,29.09,48.2,100,75,16.11,NO,1596406398
287,Ko Samui,9.54,99.94,83.68,77,100,28.95,TH,1596406131
288,Uribia,11.71,-72.27,92.86,48,23,9.04,CO,1596406398
289,Praia,14.92,-23.51,82.4,78,75,11.41,CV,1596406398
290,Léo,11.1,-2.1,73.89,84,92,7.96,BF,1596406398
291,Vuktyl,63.86,57.31,58.46,89,91,10.65,RU,1596406399
292,Lavumisa,-27.31,31.89,56.8,91,0,4.9,SZ,1596406399
293,San Patricio,19.22,-104.7,91.4,70,20,11.41,MX,1596406399
294,Merritt Island,28.54,-80.67,84.2,74,40,13.87,US,1596406400
295,Republic,37.12,-93.48,84.2,51,40,9.17,US,1596406400
296,Otane,-39.88,176.63,45.0,95,62,3.36,NZ,1596406400
297,Mareeba,-17.0,145.43,66.99,96,28,3.09,AU,1596406400
298,Winnemucca,40.97,-117.74,98.6,5,1,6.93,US,1596406400
299,Mushie,-3.02,16.9,82.63,44,41,2.46,CD,1596406401
300,Green River,41.53,-109.47,91.4,10,1,13.87,US,1596406401
301,Tonj,7.27,28.68,71.24,96,100,2.71,SS,1596406401
302,Joigny,47.98,3.4,61.0,59,59,6.02,FR,1596406401
303,Jalu,29.03,21.55,82.54,46,0,9.71,LY,1596406402
304,Ahipara,-35.17,173.17,59.7,74,35,9.66,NZ,1596406402
305,Władysławowo,54.79,18.4,69.01,77,98,4.7,PL,1596406402
306,Bermejo,-32.88,-68.8,59.49,33,0,7.31,AR,1596406402
307,Oudtshoorn,-33.59,22.2,53.6,66,0,4.7,ZA,1596406403
308,Kaitangata,-46.28,169.85,50.0,83,100,1.99,NZ,1596406403
309,Bubaque,11.28,-15.83,80.98,84,99,11.63,GW,1596406403
310,Ambovombe,-25.17,46.08,63.3,73,0,18.45,MG,1596406404
311,Coruripe,-10.13,-36.18,72.77,83,15,9.8,BR,1596406404
312,Otjimbingwe,-22.35,16.13,58.3,32,0,6.55,NA,1596406404
313,Acaraú,-2.89,-40.12,78.42,80,10,13.53,BR,1596406136
314,Buala,-8.14,159.59,83.07,74,26,6.69,SB,1596406405
315,Kasamwa,-2.85,32.43,61.59,48,0,5.61,TZ,1596406405
316,Bata,1.86,9.77,80.6,83,40,10.29,GQ,1596406405
317,Ghanzi,-21.57,21.78,52.32,42,0,6.06,BW,1596406405
318,Kuril'sk,45.23,147.88,64.26,81,7,6.51,RU,1596406406
319,Alofi,-19.06,-169.92,78.8,69,81,9.17,NU,1596406406
320,Hurricane,37.18,-113.29,107.01,11,0,4.0,US,1596406369
321,Mosquera,4.71,-74.23,66.2,39,75,9.17,CO,1596406406
322,Russell,32.35,-85.2,95.0,36,1,4.7,US,1596406406
323,Pajapan,18.25,-94.7,87.8,66,40,11.41,MX,1596406407
324,Bambous Virieux,-20.34,57.76,69.8,68,75,14.99,MU,1596406407
325,Isangel,-19.55,169.27,70.92,63,5,11.74,VU,1596406407
326,Tanabe,33.73,135.37,82.0,84,75,3.18,JP,1596406407
327,Hambantota,6.12,81.12,77.0,100,20,11.41,LK,1596406408
328,Ballina,-28.87,153.57,54.0,100,20,5.55,AU,1596406408
329,Malicboy,13.98,121.79,77.2,85,100,2.15,PH,1596406408
330,São Félix do Xingu,-6.64,-51.99,79.32,45,48,0.25,BR,1596406409
331,Caravelas,-17.71,-39.25,70.81,68,11,10.83,BR,1596406409
332,Conceição do Araguaia,-8.26,-49.26,83.3,38,0,3.98,BR,1596406409
333,Fortuna,40.6,-124.16,70.0,80,11,3.0,US,1596406299
334,Raychikhinsk,49.78,129.41,67.37,91,98,13.13,RU,1596406409
335,Kavieng,-2.57,150.8,83.07,76,16,6.93,PG,1596406410
336,Tanout,14.97,8.89,85.75,55,27,9.44,NE,1596406410
337,Madimba,-10.4,40.33,71.6,94,20,11.41,TZ,1596406410
338,Geraldton,-28.77,114.6,55.4,82,40,17.22,AU,1596406410
339,Puerto Colombia,10.99,-74.95,91.4,66,40,13.87,CO,1596406411
340,St. George's,12.06,-61.75,86.0,79,40,16.11,GD,1596406411
341,Keti Bandar,24.14,67.45,85.86,79,92,15.03,PK,1596406411
342,Windsor,42.3,-83.02,73.0,83,90,14.99,CA,1596406411
343,Belvedere Marittimo,39.62,15.86,80.01,58,0,2.1,IT,1596406412
344,Hobyo,5.35,48.53,78.89,72,87,21.88,SO,1596406412
345,Monze,-16.28,27.48,51.98,56,0,4.25,ZM,1596406412
346,Burnie,-41.07,145.92,45.0,76,98,10.0,AU,1596406413
347,Rodrigues Alves,-7.74,-72.65,85.71,47,8,0.47,BR,1596406413
348,Baruun-Urt,46.68,113.28,57.16,83,58,9.04,MN,1596406413
349,Thinadhoo,0.53,72.93,82.67,77,98,11.5,MV,1596406350
350,Marsabit,2.33,37.99,62.58,73,63,23.26,KE,1596406414
351,Teya,60.38,92.63,53.28,75,0,0.65,RU,1596406414
352,Gazojak,41.19,61.4,80.55,23,0,6.51,TM,1596406414
353,Krasnyy Yar,46.53,48.35,71.6,60,40,7.67,RU,1596406414
354,Sobolevo,54.43,31.9,50.72,85,42,1.5,RU,1596406415
355,Avera,33.19,-82.53,93.2,46,1,8.41,US,1596406415
356,Padang,-0.95,100.35,76.53,78,66,5.06,ID,1596406415
357,Uglegorsk,49.08,142.03,60.58,92,100,11.07,RU,1596406415
358,Salaga,8.55,-0.52,74.48,83,89,2.62,GH,1596406416
359,Wawa,9.9,4.42,75.2,89,100,4.99,NG,1596406416
360,Lebu,-37.62,-73.65,52.29,92,68,6.71,CL,1596406416
361,Warmbad,-28.45,18.73,65.41,24,0,9.28,NA,1596406417
362,Vostochnyy,55.82,37.87,57.2,82,0,6.71,RU,1596406417
363,Makokou,0.57,12.86,72.3,80,91,5.19,GA,1596406417
364,Zabul Province,32.25,67.25,66.45,23,0,8.55,AF,1596406417
365,Caboolture,-27.08,152.95,55.99,98,70,2.8,AU,1596406265
366,Birjand,32.87,59.22,71.6,21,0,4.7,IR,1596406418
367,Tamiahua,21.27,-97.45,86.58,67,20,11.03,MX,1596406418
368,Cambridge,43.36,-80.31,73.99,88,90,18.34,CA,1596406396
369,Sal Rei,16.18,-22.92,82.4,74,20,11.41,CV,1596406419
370,Pimentel,-6.84,-79.93,66.2,72,20,18.34,PE,1596406419
371,Glens Falls,43.31,-73.64,84.99,62,40,16.11,US,1596406010
372,Kahramanmaraş Province,38.0,37.0,80.6,65,0,20.8,TR,1596406420
373,Poum,-20.23,164.02,69.08,62,4,6.71,NC,1596406420
374,Horqueta,-23.34,-57.06,77.74,40,0,5.08,PY,1596406420
375,Nova Ushytsya,48.84,27.27,55.99,77,20,1.3,UA,1596406420
